,Name,metascore,userscore
3176,Dragon Age: Inquisition - Trespasser,77.0,7.566666666666666
3177,Dragon Age: Origins,88.0,8.266666666666667
3178,Dragon Age: Origins - Awakening,80.66666666666667,7.933333333333334
3179,Dragon Age: Origins - Darkspawn Chronicles,61.0,4.733333333333333
3180,Dragon Age: Origins - Golems of Amgarrak,57.0,5.166666666666667
3181,Dragon Age: Origins - Leliana's Song,66.5,5.8999999999999995
3182,Dragon Age: Origins - Return to Ostagar,61.5,6.333333333333333
3183,Dragon Age: Origins - Witch Hunt,57.666666666666664,5.266666666666667
3184,Dragon Ball FighterZ,86.0,7.6000000000000005
3185,Dragon Ball GT: Transformation,69.0,7.6
3186,Dragon Ball Z Budokai HD Collection,63.5,7.95
3187,Dragon Ball Z Collectible Card Game,62.0,7.0
3188,Dragon Ball Z for Kinect,49.0,2.2
3189,Dragon Ball Z: Attack of the Saiyans,73.0,8.0
3190,Dragon Ball Z: Battle of Z,57.666666666666664,5.933333333333334
3191,Dragon Ball Z: Budokai,66.0,7.3
3192,Dragon Ball Z: Budokai 2,66.0,7.4
3193,Dragon Ball Z: Budokai 3,77.0,8.8
3194,Dragon Ball Z: Budokai Tenkaichi,72.0,8.3
3195,Dragon Ball Z: Budokai Tenkaichi 2,72.5,8.55
3196,Dragon Ball Z: Budokai Tenkaichi 3,72.5,8.7
3197,Dragon Ball Z: Burst Limit,71.5,7.4
3198,Dragon Ball Z: Buu's Fury,62.0,8.6
3199,Dragon Ball Z: Extreme Butoden,61.0,6.8
3200,Dragon Ball Z: Harukanaru Densetsu,57.0,6.6
3201,Dragon Ball Z: Infinite World,48.0,7.9
3202,Dragon Ball Z: Kakarot,73.0,7.7
3203,Dragon Ball Z: Sagas,49.333333333333336,6.5
3204,Dragon Ball Z: Shin Budokai,70.0,7.9
3205,Dragon Ball Z: Shin Budokai - Another Road,65.0,8.2
3206,Dragon Ball Z: Supersonic Warriors,73.0,7.3
3207,Dragon Ball Z: Supersonic Warriors 2,66.0,7.6
3208,Dragon Ball Z: Taiketsu,40.0,5.9
3209,Dragon Ball Z: Tenkaichi Tag Team,63.0,8.2
3210,Dragon Ball Z: The Legacy of Goku,53.0,6.7
3211,Dragon Ball Z: The Legacy of Goku II,75.0,8.5
3212,Dragon Ball Z: Ultimate Battle 22,25.0,5.1
3213,Dragon Ball Z: Ultimate Tenkaichi,56.5,5.6
3214,Dragon Ball: Advanced Adventure,75.0,8.3
3215,Dragon Ball: Evolution,28.0,1.4
3216,Dragon Ball: Fusions,72.0,8.0
3217,Dragon Ball: Origins,78.0,7.8
3218,Dragon Ball: Origins 2,70.0,6.8
3219,Dragon Ball: Raging Blast,56.5,7.300000000000001
3220,Dragon Ball: Raging Blast 2,58.5,7.5
3221,Dragon Ball: Revenge of King Piccolo,65.0,7.3
3222,Dragon Ball: The Breakers,53.5,5.8500000000000005
3223,Dragon Ball: Xenoverse,68.0,7.2
3224,Dragon Ball: Xenoverse 2,74.33333333333333,7.066666666666667
3225,Dragon Blade: Wrath of Fire,51.0,7.2
3226,Dragon Booster,33.0,7.0
3227,Dragon Fantasy Book I,64.0,7.1
3228,Dragon Fantasy Book II,54.5,5.949999999999999
3229,Dragon Quest Builders,83.0,8.45
3230,Dragon Quest Builders 2,85.5,7.6000000000000005
3231,Dragon Quest Heroes II,76.0,7.449999999999999
3232,Dragon Quest Heroes: Rocket Slime,83.0,7.8
3233,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,75.0,7.35
3234,Dragon Quest IV: Chapters of the Chosen,80.0,8.1
3235,Dragon Quest IX: Sentinels of the Starry Skies,87.0,8.6
3236,Dragon Quest Monsters: Joker,75.0,7.4
3237,Dragon Quest Monsters: Joker 2,77.0,7.7
3238,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,65.0,6.3
3239,Dragon Quest V: Hand of the Heavenly Bride,84.0,8.6
3240,Dragon Quest VI: Realms of Revelation,78.0,8.3
3241,Dragon Quest VII: Fragments of the Forgotten Past,81.0,8.2
3242,Dragon Quest VIII: Journey of the Cursed King,87.0,8.649999999999999
3243,Dragon Quest Wars,83.0,5.7
3244,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,91.5,8.066666666666666
3245,Dragon Quest XI: Echoes of an Elusive Age,83.0,8.6
3246,Dragon Rage,50.0,6.3
3247,Dragon Saga,65.0,8.3
3248,Dragon Star Varnir,75.0,7.1
3249,Dragon Valor,57.0,8.6
3250,Dragon Warrior VII,78.0,8.2
3251,Dragon's Crown,79.5,8.2
3252,Dragon's Crown Pro,80.0,8.0
3253,Dragon's Dogma,76.5,8.100000000000001
3254,Dragon's Dogma: Dark Arisen,79.2,8.040000000000001
3255,Dragon's Lair,50.333333333333336,5.825
3256,Dragon's Lair 3,23.0,2.4
3257,Dragon's Lair 3D,63.5,6.699999999999999
3258,Dragon's Prophet,63.0,5.9
3259,Dragoneer's Aria,56.0,6.4
3260,Dragonriders: Chronicles of Pern,44.0,5.6
3261,Dragons and Titans,43.0,7.2
3262,Drakan: The Ancients' Gates,78.0,8.8
3263,Drake Hollow,75.0,5.75
3264,Drake of the 99 Dragons,22.0,2.25
3265,Drakengard,63.0,8.0
3266,Drakengard 2,58.0,6.9
3267,Drakengard 3,61.0,8.1
3268,Drakensang: The Dark Eye,75.0,8.3
3269,Draugen,73.33333333333333,6.8500000000000005
3270,Draw Slasher,69.0,5.1
3271,Drawful 2,75.0,5.599999999999999
3272,Drawn to Death,56.0,5.9
3273,Drawn to Life,73.0,7.7
3274,Drawn to Life: SpongeBob SquarePants Edition,68.0,7.3
3275,Drawn to Life: The Next Chapter,65.0,6.8
3276,Drawn: Dark Flight,75.0,7.3
3277,Dread Hunger,73.0,8.5
3278,Dread Nautical,68.66666666666667,4.25
3279,Dread Templar,74.0,6.7
3280,DreadOut,55.0,6.4
3281,Dreadnought,72.0,5.3
3282,Dream (2013),59.0,5.9
3283,Dream Cycle,62.0,8.1
3284,Dream Daddy: A Dad Dating Simulator,72.0,7.5
3285,Dream Pinball 3D,54.0,7.6
3286,Dream Trigger 3D,54.0,6.3
3287,DreamWorks Bee Movie Game,65.25,8.1
3288,DreamWorks Dragons Dawn of New Riders,59.0,5.95
3289,DreamWorks How to Train Your Dragon,57.0,7.225
3290,DreamWorks How to Train Your Dragon 2,47.0,5.9
3291,DreamWorks Kung Fu Panda,72.33333333333333,6.533333333333334
3292,DreamWorks Kung Fu Panda 2,44.75,4.3
3293,DreamWorks Kung Fu Panda: Showdown of Legendary Legends,65.5,5.3500000000000005
3294,DreamWorks Madagascar,69.5,7.35
3295,DreamWorks Madagascar 3: The Video Game,45.0,6.3
3296,DreamWorks Madagascar: Escape 2 Africa,59.0,6.08
3297,DreamWorks Megamind: Ultimate Showdown,38.0,4.55
3298,DreamWorks Monsters vs. Aliens,61.6,5.233333333333333
3299,DreamWorks Over the Hedge,68.0,7.2
3300,DreamWorks Over the Hedge: Hammy Goes Nuts,58.0,8.0
3301,DreamWorks Penguins of Madagascar,51.0,4.6
3302,DreamWorks Puss in Boots,70.0,7.6
3303,DreamWorks Shark Tale,63.0,7.8
3304,DreamWorks Shrek Forever After,58.333333333333336,3.84
3305,DreamWorks Shrek SuperSlam,62.5,4.45
3306,DreamWorks Shrek the Third,60.75,5.2
3307,DreamWorks Shrek-N-Roll,49.0,7.0
3308,DreamWorks Shrek: Ogres and Dronkeys,54.0,7.6
3309,DreamWorks Voltron VR Chronicles,67.0,4.5
3310,Dreamals,68.0,5.599999999999999
3311,Dreambreak,46.0,5.0
3312,Dreamcast Collection,53.0,6.4
3313,Dreamfall Chapters,71.66666666666667,6.8999999999999995
3314,Dreamfall Chapters Book One: Reborn,72.0,7.5
3315,Dreamfall Chapters Book Two: Rebels,71.0,7.8
3316,Dreamfall: The Longest Journey,74.0,8.5
3317,Dreamkiller,47.0,5.3
3318,Dreamlords,46.0,8.8
3319,Dreams,89.0,8.7
3320,Dreamscaper,80.0,7.8
3321,Driftland: The Magic Revival,76.0,7.7
3322,Driftmoon,73.0,7.4
3323,Drill Dozer,81.0,8.8
3324,Drive Girls,39.0,5.7
3325,Drive!Drive!Drive!,59.0,5.0
3326,Driveclub,71.0,6.3
3327,Driveclub Bikes,79.0,7.4
3328,Driveclub VR,66.0,6.9
3329,Driven,53.666666666666664,5.2
3330,Driver,87.0,7.15
3331,Driver '76,57.0,7.4
3332,Driver 2,62.0,7.7
3333,Driver 2 Advance,73.0,6.3
3334,Driver: Parallel Lines,64.5,6.225
3335,Driver: Renegade,48.0,5.4
3336,Driver: San Francisco,75.75,7.35
3337,Driving Emotion Type-S,55.0,2.5
3338,Drome Racers,62.25,5.566666666666666
3339,Drone Tactics,74.0,7.8
3340,Droplitz,76.0,7.1499999999999995
3341,Dropship: United Peace Force,78.0,8.6
3342,Dropsy,80.0,7.5
3343,Drox Operative,74.0,7.1
3344,Drug Dealer Simulator,59.0,6.7
3345,Drug Wars (2009),35.0,4.5
3346,Druidstone: The Secret of the Menhir Forest,79.0,7.3
3347,Drunken Robot Pornography,66.0,6.7
3348,Druuna: Morbus Gravis,26.0,4.9
3349,Dry Drowning,68.0,7.9
3350,Dual Hearts,70.0,6.8
3351,DualPenSports,58.0,2.5
3352,Ducati World Championship,35.0,3.5
3353,Ducati World Racing Challenge,55.0,6.8
3354,Duck Dodgers Starring Daffy Duck,69.0,8.3
3355,Duck Game,82.0,7.2
3356,Duel Masters,66.0,8.3
3357,Duel Masters: Sempai Legends,69.0,8.2
3358,Duelyst,82.0,7.7
3359,Duke Nukem 3D,84.5,8.399999999999999
3360,Duke Nukem 3D: 20th Anniversary World Tour,73.0,6.966666666666666
3361,Duke Nukem 3D: Megaton Edition,69.5,7.8999999999999995
3362,Duke Nukem 64,73.0,7.4
3363,Duke Nukem Advance,81.0,8.3
3364,Duke Nukem Forever,51.333333333333336,5.066666666666666
3365,Duke Nukem Forever: The Doctor Who Cloned Me,55.0,7.3
3366,Duke Nukem: Critical Mass,29.0,3.6
3367,Duke Nukem: Land of the Babes,37.0,6.9
3368,Duke Nukem: Manhattan Project,59.5,7.4
3369,Dungelot: Shattered Lands,78.0,6.8
3370,Dungeon Defenders,79.33333333333333,6.966666666666666
3371,Dungeon Defenders: Awakened,74.0,7.3
3372,Dungeon Encounters,71.0,6.7
3373,Dungeon Explorer: Warriors of Ancient Arts,58.0,6.2
3374,Dungeon Fighter Live: Fall of Hendon Myre,53.0,7.5
3375,Dungeon Fighter Online,78.0,8.2
3376,Dungeon Hearts,73.0,6.4
3377,Dungeon Hunter: Alliance,58.0,6.95
3378,Dungeon Lords,45.0,5.1
3379,Dungeon Maker: Hunting Ground,70.0,6.6
3380,Dungeon Punks,71.0,6.133333333333334
3381,Dungeon Runners,74.0,5.8
3382,Dungeon Siege,86.0,7.8
3383,Dungeon Siege II,80.0,7.8
3384,Dungeon Siege II: Broken World,62.0,6.9
3385,Dungeon Siege III,71.66666666666667,5.6000000000000005
3386,Dungeon Siege III: Treasures of the Sun,81.0,7.1499999999999995
3387,Dungeon Siege: Legends of Aranna,73.0,7.8
3388,Dungeon Siege: Throne of Agony,74.0,8.0
3389,Dungeon Souls,67.0,6.0
3390,Dungeon Travelers 2: The Royal Library & the Monster Seal,73.0,8.5
3391,Dungeon Twister,49.0,4.3
3392,Dungeon of the Endless,80.33333333333333,7.033333333333334
3393,Dungeonland,67.0,7.5
3394,Dungeons,65.0,4.7
3395,Dungeons & Dragons Heroes,72.0,7.8
3396,Dungeons & Dragons Online: Stormreach,74.0,6.8
3397,Dungeons & Dragons Tactics,58.0,7.6
3398,Dungeons & Dragons: Chronicles of Mystara,79.25,6.875
3399,Dungeons & Dragons: Daggerdale,47.0,4.8999999999999995
3400,Dungeons & Dragons: Dark Alliance,53.0,3.1999999999999997
3401,Dungeons & Dragons: Dragonshard,80.0,7.7
3402,Dungeons & Dragons: Eye of the Beholder,57.0,6.1
3403,Dungeons 2,65.5,6.9
3404,Dungeons 3,73.5,7.2
3405,Dungeons of Dreadrock,75.0,8.8
3406,Dungeons of Dredmor,79.0,7.6
3407,Dungeons: The Dark Lord,72.0,5.7
3408,Dusk Diver,64.0,7.1
3409,Duskers,83.0,6.6
3410,Dust 514,59.0,6.1
3411,Dust: An Elysian Tail,82.33333333333333,8.033333333333333
3412,Dustforce,74.0,5.8
3413,Dusty Raging Fist,55.0,5.6
3414,Dusty Revenge,64.0,6.6
3415,Dwarf Fortress,93.0,8.5
3416,Dyad,81.0,6.8
3417,Dying Light,74.33333333333333,8.1
3418,Dying Light 2 Stay Human,77.0,4.8
3419,Dying Light: Platinum Edition,75.0,8.7
3420,Dying Light: The Following,81.0,8.266666666666667
3421,Dying Light: The Following - Enhanced Edition,86.5,8.366666666666667
3422,Dying: Reborn,38.0,5.1
3423,Dynasty Tactics,79.0,8.2
3424,Dynasty Tactics 2,78.0,8.2
3425,Dynasty Warriors,62.0,7.2
3426,Dynasty Warriors 2,75.0,8.5
3427,Dynasty Warriors 3,74.0,8.8
3428,Dynasty Warriors 3: Xtreme Legends,72.0,8.5
3429,Dynasty Warriors 4,76.5,8.850000000000001
3430,Dynasty Warriors 4 Hyper,65.0,7.5
3431,Dynasty Warriors 4: Empires,71.0,8.6
3432,Dynasty Warriors 4: Xtreme Legends,72.0,8.3
3433,Dynasty Warriors 5,67.5,8.399999999999999
3434,Dynasty Warriors 5 Empires,61.5,8.2
3435,Dynasty Warriors 5: Xtreme Legends,57.0,8.3
3436,Dynasty Warriors 6,54.0,7.2
3437,Dynasty Warriors 6 Empires,60.5,7.15
3438,Dynasty Warriors 7,57.5,7.699999999999999
3439,Dynasty Warriors 7 Empires,63.0,8.0
3440,Dynasty Warriors 7: Xtreme Legends,64.0,7.3
3441,Dynasty Warriors 8,66.5,7.85
3442,Dynasty Warriors 8 Empires,63.666666666666664,7.3
3443,Dynasty Warriors 8: Xtreme Legends,68.0,7.3
3444,Dynasty Warriors 8: Xtreme Legends Complete Edition,68.33333333333333,7.3999999999999995
3445,Dynasty Warriors 9,59.333333333333336,8.933333333333334
3446,Dynasty Warriors 9 Empires,54.0,9.200000000000001
3447,Dynasty Warriors Advance,56.0,7.6
3448,Dynasty Warriors DS: Fighter's Battle,56.0,6.8
3449,Dynasty Warriors Next,67.0,7.5
3450,Dynasty Warriors Vol. 2,57.0,6.4
3451,Dynasty Warriors: Godseekers,66.0,7.8
3452,Dynasty Warriors: Gundam,57.5,6.6
3453,Dynasty Warriors: Gundam 2,51.666666666666664,6.666666666666667
3454,Dynasty Warriors: Gundam 3,61.5,7.65
3455,Dynasty Warriors: Gundam Reborn,64.0,7.4
3456,Dynasty Warriors: Strikeforce,62.666666666666664,6.6000000000000005
3457,Dyscourse,71.0,4.9
3458,E.T. Armies,54.0,7.0
3459,E.T. Interplanetary Mission,50.0,4.0
3460,E.T. The Extra-Terrestrial,46.0,5.4
3461,E.Y.E: Divine Cybermancy,61.0,6.9
3462,EA Playground,63.0,7.5
3463,EA Replay,56.0,6.3
3464,EA SPORTS UFC 4,80.0,1.9
3465,EA Sports Active,81.0,8.2
3466,EA Sports Active 2,75.0,6.366666666666667
3467,EA Sports MMA,78.0,7.35
3468,EA Sports UFC,70.0,6.15
3469,EA Sports UFC 2,77.5,5.699999999999999
3470,EA Sports UFC 3,76.0,4.7
3471,ECHO,79.0,7.2
3472,ECHO (2017),72.0,6.5
3473,ECW Anarchy Rulz,40.5,6.6
3474,ELEX II,64.0,6.866666666666667
3475,ENDER LILIES: Quietus of the Knights,86.0,7.966666666666666
3476,EOE: Eve of Extinction,57.0,7.8
3477,ESPN College Hoops,81.5,7.55
3478,ESPN College Hoops 2K5,86.0,7.949999999999999
3479,ESPN Great Outdoor Games Bass 2002,57.0,7.8
3480,ESPN International Track & Field,66.5,7.3
3481,ESPN International Winter Sports 2002,62.0,7.8
3482,ESPN MLS ExtraTime 2002,68.0,8.0
3483,ESPN Major League Baseball,78.5,8.05
3484,ESPN NBA 2K5,84.0,7.65
3485,ESPN NBA 2Night,45.5,2.3
3486,ESPN NBA Basketball,88.0,8.0
3487,ESPN NFL 2K5,91.0,8.35
3488,ESPN NFL Football,91.0,8.15
3489,ESPN NHL 2K5,87.0,8.05
3490,ESPN NHL Hockey,89.0,7.25
3491,ESPN Sports Connection,31.0,4.0
3492,ESPN Winter X-Games Snowboarding 2002,67.5,8.1
3493,ESPN X Games Skateboarding,58.0,7.7
3494,ETHER One,78.5,5.65
3495,EVE Online,69.0,7.1
3496,EVE Online: Commissioned Officer Edition,77.0,7.4
3497,EVE Online: Special Edition,88.0,7.7
3498,EVE: Gunjack,60.0,6.2
3499,EVE: Valkyrie,70.0,5.75
3500,EVERSPACE,80.33333333333333,6.633333333333333
3501,EVERYTHING,79.0,6.3
3502,Eador: Masters of the Broken World,74.0,7.2
3503,Eagle Flight,73.5,6.85
3504,Earth & Beyond,82.0,7.1
3505,Earth 2150,78.0,8.3
3506,Earth 2150: Lost Souls,67.0,6.9
3507,Earth 2160,73.0,7.4
3508,Earth Atlantis,59.0,6.6000000000000005
3509,Earth Defense Force 2017,69.0,7.6
3510,Earth Defense Force 2017 Portable,68.0,7.6
3511,Earth Defense Force 2025,68.5,7.75
3512,Earth Defense Force 2: Invaders From Planet Space,72.0,8.2
3513,Earth Defense Force 4.1: The Shadow of New Despair,71.5,7.8500000000000005
3514,Earth Defense Force 5,74.0,7.95
3515,Earth Defense Force: Insect Armageddon,66.66666666666667,7.433333333333334
3516,Earth Defense Force: Iron Rain,67.0,4.95
3517,Earth's Dawn,69.0,6.550000000000001
3518,EarthNight,79.0,7.6
3519,Earthfall,57.0,5.366666666666667
3520,Earthlock: Festival of Magic,61.0,6.8
3521,Earthworm Jim,70.5,7.199999999999999
3522,Earthworm Jim 2,45.0,6.949999999999999
3523,Earthworm Jim HD,71.5,7.6
3524,East India Company,67.0,5.7
3525,East India Company: Privateer,63.0,5.4
3526,Eastern Exorcist,73.0,7.0
3527,Eastshade,78.0,5.866666666666667
3528,Eastward,82.0,7.0
3529,Easy Golf: Course Architect,71.0,7.9
3530,Eat Lead: The Return of Matt Hazard,52.0,6.45
3531,Eat Them!,65.0,7.3
3532,Ecco the Dolphin,53.0,8.0
3533,Ecco the Dolphin: Defender of the Future,77.5,8.25
3534,Echelon,70.0,7.3
3535,Echelon: Wind Warriors,63.0,7.7
3536,Echo Arena,87.0,7.8
3537,Echo Night Beyond,60.0,8.1
3538,Echo: Secrets of the Lost Cavern,71.0,6.3
3539,Echoes Of Aetheria,77.0,7.1
3540,Ecks vs. Sever,80.0,8.0
3541,Eclipse: Edge of Light,57.0,3.6
3542,Ecolibrium,61.0,5.5
3543,"Ed, Edd n Eddy: Jawbreakers!",49.0,7.9
3544,"Ed, Edd n Eddy: The Mis-Edventures",49.0,7.640000000000001
3545,Eden-Tomorrow,52.0,5.3
3546,Edge,79.0,7.3999999999999995
3547,Edge (2011),74.0,7.4
3548,Edge Of Eternity,67.0,6.366666666666667
3549,Edge of Nowhere,71.0,6.8
3550,Edna & Harvey: Harvey's New Eyes,75.0,7.7
3551,Edna & Harvey: The Breakout,56.0,6.6
3552,Eduardo the Samurai Toaster,61.0,7.9
3553,Eets,81.0,6.3
3554,Eets: Chowdown,77.0,5.8
3555,Effie,68.33333333333333,6.449999999999999
3556,Egg Mania: Eggstreme Madness,62.0,8.0
3557,Eidolon,64.0,6.2
3558,Einhander,89.0,8.7
3559,Eisenhorn: XENOS,46.0,2.9
3560,Eiyuden Chronicle: Rising,71.0,6.433333333333334
3561,Eiyuu Senki: The World Conquest,69.0,8.0
3562,El Hijo - A Wild West Tale,74.0,7.1
3563,El Hijo: A Wild West Tale,71.5,6.8
3564,El Matador,54.0,5.0
3565,El Shaddai ASCENSION OF THE METATRON,71.0,7.3
3566,El Shaddai: Ascension of the Metatron,76.5,7.35
3567,El Tigre: The Adventures of Manny Rivera,57.5,8.5
3568,Elden Ring,94.0,6.966666666666666
3569,Elderand,72.0,7.0
3570,Eldest Souls,77.0,6.7
3571,Eldritch,77.0,6.8
3572,Elea - Episode 1,53.0,6.2
3573,Elebits,75.0,7.3
3574,Elebits: The Adventures of Kai and Zero,75.0,8.2
3575,ElecHead,84.0,8.5
3576,Electronauts,77.0,6.2
3577,Electronic Super Joy,77.5,7.449999999999999
3578,Electroplankton,71.0,7.0
3579,Elefunk,70.0,5.9
3580,Elegy for a Dead World,65.0,6.0
3581,Element Space,45.5,7.5
3582,Element4l,69.5,6.25
3583,Elemental: Fallen Enchantress,78.0,7.3
3584,Elemental: War of Magic,53.0,5.9
3585,Eleusis,49.0,6.4
3586,Elevator Action Deluxe,54.0,6.0
3587,Elex,62.333333333333336,6.633333333333333
3588,Elf Bowling 1 & 2,12.0,3.45
3589,Elite Beat Agents,87.0,8.5
3590,Elite Dangerous: Horizons,75.0,5.5
3591,Elite Warriors: Vietnam,46.0,5.7
3592,Elite: Dangerous,79.0,6.766666666666667
3593,Elite: Dangerous - Odyssey,55.0,3.4
3594,Eliza,84.0,6.4
3595,Elliot Quest,76.0,6.8
3596,Elminage Original,55.0,8.0
3597,Else Heart.Break(),79.0,7.2
3598,Elsinore,68.0,5.7
3599,Elven Legacy,71.0,7.1
3600,Elven Legacy: Ranger,68.0,8.5
3601,Ember,70.0,6.9
3602,Embers of Mirrim,77.0,6.5
3603,Embracelet,85.0,8.0
3604,Emerald City Confidential,71.0,7.6
3605,Emergency 2012,61.0,5.6
3606,Emergency 2: The Ultimate Fight for Life,55.0,7.5
3607,Emergency 3,58.0,5.4
3608,Emergency 5,54.0,5.7
3609,Emergency Fire Response,79.0,8.6
3610,Emergency Heroes,41.0,5.2
3611,Emergency Mayhem,40.0,4.3
3612,Emergency: Fighters for Life,71.0,7.7
3613,Emily Wants To Play,75.0,6.5
3614,Emily is Away Too,81.0,8.0
3615,Empathy: Path of Whispers,59.0,5.6
3616,Emperor: Battle for Dune,79.0,8.4
3617,Emperor: Rise of the Middle Kingdom,77.0,7.8
3618,Empire Earth,81.0,8.4
3619,Empire Earth II,79.0,7.1
3620,Empire Earth II: The Art of Supremacy,57.0,6.5
3621,Empire Earth III,50.0,3.2
3622,Empire Earth: The Art of Conquest,63.0,8.4
3623,Empire of Sin,58.0,5.6000000000000005
3624,Empire of the Ants (2001),59.0,6.9
3625,Empire: Total War,90.0,7.0
3626,Empires Apart,68.0,5.0
3627,Empires: Dawn of the Modern World,81.0,8.3
3628,Encased: a sci-fi post-apocalyptic RPG,73.0,7.1
3629,Enchanted Arms,66.5,6.75
3630,Enclave,68.5,7.5
3631,Encleverment Experiment,60.0,5.8
3632,Encodya,67.0,7.599999999999999
3633,Endgame,57.0,6.8
3634,Endless Legend,82.0,8.0
3635,Endless Ocean,72.0,8.2
3636,Endless Ocean: Blue World,76.0,8.6
3637,Endless Space,77.0,7.4
3638,Endless Space 2,80.0,7.8
3639,Endless Space: Disharmony,54.0,6.8
3640,Endling - Extinction is Forever,79.0,8.233333333333333
3641,Endzone: A World Apart,72.0,7.2
3642,Enemy Engaged 2,58.0,4.9
3643,Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,86.0,7.3
3644,Enemy Front,43.333333333333336,5.633333333333333
3645,Enemy Territory: Quake Wars,71.0,7.3
3646,Energy Hook,22.0,4.9
3647,Enforcer: Police Crime Action,36.0,4.8
3648,Enigma: Rising Tide,77.0,5.8
3649,Enigmatis 2: The Mists of Ravenwood,81.0,7.400000000000001
3650,Enigmatis 3: The Shadow of Karkhala,74.0,6.599999999999999
3651,Enigmatis: The Ghosts of Maple Creek,66.0,7.0
3652,Enjoy your massage!,21.0,1.6
3653,Enki,43.0,4.4
3654,Enslaved: Odyssey to the West,77.33333333333333,7.7
3655,Enslaved: Odyssey to the West - Pigsy's Perfect 10,73.5,7.1
3656,Enter The Gungeon,85.0,8.3
3657,Enter the Gungeon,83.0,8.05
3658,Enter the Matrix,62.0,7.55
3659,Enthusia Professional Racing,70.0,7.6
3660,Entwined,59.0,7.033333333333334
3661,Ephemeral Fantasia,48.0,7.1
3662,Epic Dumpster Bear,57.0,6.5
3663,Epistory - Typing Chronicles,74.0,7.6
3664,Eragon,55.857142857142854,6.833333333333334
3665,Erica,73.5,6.8
3666,Escape Academy,79.0,8.4
3667,Escape Dead Island,41.333333333333336,3.466666666666667
3668,Escape From Paradise City,62.0,7.1
3669,Escape Goat 2,76.0,7.15
3670,Escape Plan,72.0,7.0
3671,Escape from Bug Island,37.0,5.3
3672,Escape from Monkey Island,85.0,7.8999999999999995
3673,Eschalon: Book I,75.0,7.3
3674,Eschalon: Book III,67.0,6.5
3675,Espire 1: VR Operative,68.0,6.6
3676,Eternal Darkness: Sanity's Requiem,92.0,8.8
3677,Eternal Hope,69.5,8.0
3678,Eternal Poison,65.0,8.6
3679,Eternal Ring,62.0,6.4
3680,Eternal Sonata,79.5,7.85
3681,Eternal Threads,73.0,5.2
3682,Eternity: The Last Unicorn,37.5,5.666666666666667
3683,Ethan: Meteor Hunter,52.333333333333336,4.966666666666667
3684,Etherborn,71.66666666666667,7.533333333333334
3685,Etherium,62.0,6.3
3686,Etherlords,77.0,8.1
3687,Etherlords II,78.0,8.3
3688,Etrian Mystery Dungeon,77.0,7.9
3689,Etrian Odyssey,75.0,8.4
3690,Etrian Odyssey 2 Untold: The Fafnir Knight,82.0,8.0
3691,Etrian Odyssey II: Heroes of Lagaard,82.0,8.2
3692,Etrian Odyssey III: The Drowned City,77.0,8.4
3693,Etrian Odyssey IV: Legends of the Titan,84.0,8.3
3694,Etrian Odyssey Nexus,81.0,6.7
3695,Etrian Odyssey Untold: The Millennium Girl,80.0,8.2
3696,Etrian Odyssey V: Beyond the Myth,80.0,8.0
3697,Etrom: The Astral Essence,39.0,6.3
3698,Euclidean,62.0,3.0
3699,Eufloria,68.0,7.55
3700,Eufloria HD,69.0,6.8
3701,Eureka Seven - Vol 1: The New Wave,54.0,8.4
3702,Eureka Seven Vol. 2: The New Vision,40.0,7.6
3703,Euro Truck Simulator 2,79.0,8.6
3704,Euro Truck Simulator 2: Go East,69.0,8.1
3705,Euro Truck Simulator 2: Italia Add-On,83.0,8.5
3706,Euro Truck Simulator 2: Vive La France! Add-On,83.0,8.3
3707,Eurofighter Typhoon,69.0,6.2
3708,Europa 1400: The Guild,82.0,8.4
3709,Europa Universalis,86.0,7.6
3710,Europa Universalis II,87.0,8.6
3711,Europa Universalis III,83.0,8.4
3712,Europa Universalis III: Divine Wind,71.0,8.6
3713,Europa Universalis III: Heir to the Throne,86.0,8.7
3714,Europa Universalis IV,87.0,8.7
3715,Europa Universalis IV: Conquest of Paradise,81.0,7.7
3716,Europa Universalis IV: Res Publica,79.0,7.1
3717,Europa Universalis IV: Wealth of Nations,84.0,8.5
3718,Europa Universalis: Crown of the North,61.0,6.7
3719,Europa Universalis: Rome,73.0,6.0
3720,Europa Universalis: Rome - Vae Victis,79.0,8.5
3721,Evan's Remains,75.0,6.8999999999999995
3722,Evasion,76.0,5.8
3723,Event[0],75.0,7.0
3724,Ever Forward,65.0,6.3
3725,Ever Oasis,76.0,8.1
3726,EverQuest,85.0,7.9
3727,EverQuest II,83.0,7.3
3728,EverQuest II: Desert of Flames,79.0,6.9
3729,EverQuest II: Echoes of Faydwer,83.0,8.5
3730,EverQuest II: Kingdom of Sky,76.0,6.7
3731,EverQuest II: Rise of Kunark,83.0,7.6
3732,EverQuest II: The Shadow Odyssey,78.0,8.4
3733,EverQuest Online Adventures,74.0,8.1
3734,EverQuest Online Adventures: Frontiers,77.0,8.2
3735,EverQuest: Gates of Discord,85.0,7.3
3736,EverQuest: Lost Dungeons of Norrath,79.0,7.0
3737,EverQuest: Omens of War,86.0,8.0
3738,EverQuest: The Planes of Power,81.0,7.0
3739,EverQuest: The Ruins of Kunark,86.0,8.5
